사건,접수번호,품목,사람이지목한기준,사람이지목한절,시스템순위,시스템조항,판정
"5609","(26)12","전기물끓이기","KC 60335-1","21","","","못찾음"
"5609","(26)12","전기물끓이기","KC 60335-1","22","13 10 9 12","22 22.10 22.22 22.38","찾음(22=13위, 22.10=10위, 22.22=9위, 22.38=12위)"
"5610","(26)14","(비대상)","KC 60335-1","11","7 8 3 12 14 10 1 5","11.1 11.2 11.3 11.4 11.5 11.7 11.8 11.8","찾음(11.1=7위, 11.2=8위, 11.3=3위, 11.4=12위, 11.5=14위, 11.7=10위, 11.8=1위, 11.8=5위)"
"5610","(26)14","(비대상)","KC 60335-2-17","11","","","못찾음"
"5614","(26)19","전기주전자","KC 60335-1","21","","","못찾음"
"5614","(26)19","전기주전자","KC 60335-2-15","21","","","못찾음"
"5619","(26)2","전지 보조배터리","KC 62133-2","7.3.6","2","7.3.6","찾음(7.3.6=2위)"
"5619","(26)2","전지 보조배터리","KC 62133-2","7.3.2","19","7.3.2","찾음(7.3.2=19위)"
"5616","(26)20","전기요","안전확인 부속서 1(유아용 섬유제품)","5.2","4","5.2","찾음(5.2=4위)"
"5617","(26)21","(비대상)","KC 62368-1","B.2","","","못찾음"
"5618","(26)27","가습기","KC 60335-1","19","11 20 2 10 13 14 9 3 19","19 19.1 19.2 19.3 19.4 19.6 19.8 19.13 19.15","찾음(19=11위, 19.1=20위, 19.2=2위, 19.3=10위, 19.4=13위, 19.6=14위, 19.8=9위, 19.13=3위, 19.15=19위)"
"5618","(26)27","가습기","KC 60335-2-98","19","","","못찾음"
"5620","(26)3","전지 보조배터리","KC 62133-2","7.3.2","","","못찾음"
"5620","(26)3","전지 보조배터리","KC 62133-2","7.3.6","","","못찾음"
"5620","(26)3","전지 보조배터리","KC 62133-2","7.3.3","","","못찾음"
"5622","(26)5","전기요","KC 60335-2-17","11","","","못찾음"
"5622","(26)5","전기요","KC 60335-2-17","19","","","못찾음"
"5623","(26)7","전기방석","KC 60335-2-17","11","","","못찾음"
"5623","(26)7","전기방석","KC 60335-2-17","19","","","못찾음"
"5623","(26)7","전기방석","KC 60335-2-17","21","","","못찾음"
